question,answer,text
Which theory states that 'people tend to rise to their own level of incompetence'?,PETER PRINCIPLE,Which theory states that 'people tend to rise to their own level of incompetence'? PETER PRINCIPLE
Which writer was the father of Christopher Robin?,A A MILNE,Which writer was the father of Christopher Robin? A A MILNE
The Dance Class and Absinthe are famous works by which painter?,EDGAR DEGAS,The Dance Class and Absinthe are famous works by which painter? EDGAR DEGAS
Which American actor also performs with the band Dogstar?,Keanu Reeves,Which American actor also performs with the band Dogstar? Keanu Reeves
In which city was the British version of Concorde assembled,Bristol,In which city was the British version of Concorde assembled Bristol
What is taphophobia the fear of?,Graves,What is taphophobia the fear of? Graves
"Which bruising 19th century American, the last of the bare knuckle boxing heavyweight champions, was the first athlete to earn over one million dollars?",John L. Sullivan,"Which bruising 19th century American, the last of the bare knuckle boxing heavyweight champions, was the first athlete to earn over one million dollars? John L. Sullivan"
"Who was the merchant sea-captain who made the first American circumnavigation of the world in 1790, and is known for trading voyages to the northern Pacific coast of North America between 1790 and 1793, which pioneered the fur trade in that region?",Robert Gray,"Who was the merchant sea-captain who made the first American circumnavigation of the world in 1790, and is known for trading voyages to the northern Pacific coast of North America between 1790 and 1793, which pioneered the fur trade in that region? Robert Gray"
"Situated in Piccadilly, what is the name of London’s oldest bookshop?",Hatchards,"Situated in Piccadilly, what is the name of London’s oldest bookshop? Hatchards"
What childhood stories feature a young boy named Mowgli?,The Jungle Book,What childhood stories feature a young boy named Mowgli? The Jungle Book
What potent greenhouse gas is produced by the digestive systems of cattle?,Methane,What potent greenhouse gas is produced by the digestive systems of cattle? Methane
"""Which bandleader was known as """"The sentimental gentleman of swing"""" because of his smooth trombone style?""",Tommy Dorsey,"""Which bandleader was known as """"The sentimental gentleman of swing"""" because of his smooth trombone style?"" Tommy Dorsey"
Which male Russian won the 100/200 metre double at the 1972 Olympics?,VALERIY BORZOV,Which male Russian won the 100/200 metre double at the 1972 Olympics? VALERIY BORZOV
Sir Ronald Ross was the first British winner of the Nobel Prize for Medicine in 1902 for his research in combating which disease?,Malaria,Sir Ronald Ross was the first British winner of the Nobel Prize for Medicine in 1902 for his research in combating which disease? Malaria
Which painter married Hortense Fiquet and used her as the subject of many of his paintings?,PAUL CEZANNE,Which painter married Hortense Fiquet and used her as the subject of many of his paintings? PAUL CEZANNE
"On this day in 1993, in a UN backed referendum, Eritreans voted overwhelmingly in favour of independence from which country ?",ETHIOPIA,"On this day in 1993, in a UN backed referendum, Eritreans voted overwhelmingly in favour of independence from which country ? ETHIOPIA"
Which angel in Charlie's Angels was played by Jaclyn Smith,Kelly Garrett,Which angel in Charlie's Angels was played by Jaclyn Smith Kelly Garrett
"Which country has borders with the Central African Republic, Sudan, Zambia, Angola, the Republic of the Congo, Uganda, Rwanda and Burundi (with Tanzania across Lake Tanganyika)?",Democratic Republic of the Congo,"Which country has borders with the Central African Republic, Sudan, Zambia, Angola, the Republic of the Congo, Uganda, Rwanda and Burundi (with Tanzania across Lake Tanganyika)? Democratic Republic of the Congo"
"Which battle of 23 June, 1757, was a major victory for the British East India Company's troops over the Nawab of Bengal and his French allies?",The Battle of Plassey,"Which battle of 23 June, 1757, was a major victory for the British East India Company's troops over the Nawab of Bengal and his French allies? The Battle of Plassey"
"In woodworking joints, what do you insert into your mortise?",Tenon,"In woodworking joints, what do you insert into your mortise? Tenon"
"""What type of car was """"KITT"""" from the """"Knightrider"""" series?""",Pontiac Trans-Am,"""What type of car was """"KITT"""" from the """"Knightrider"""" series?"" Pontiac Trans-Am"
In which year did Queen Elizabeth the Queen Mother die?,2002,In which year did Queen Elizabeth the Queen Mother die? 2002
Name the two tiles with the highest score in Scrabble?,Q and Z,Name the two tiles with the highest score in Scrabble? Q and Z
What was Orson Welles’ first film?,CITIZEN KANE,What was Orson Welles’ first film? CITIZEN KANE
"""According to the opening line of T.S. Eliot's poem 'The Wasteland', which is """"the cruellest month""""?""",APRIL,"""According to the opening line of T.S. Eliot's poem 'The Wasteland', which is """"the cruellest month""""?"" APRIL"
What are Ponte Vecchio and Pont Neuf?,Bridges,What are Ponte Vecchio and Pont Neuf? Bridges
Which year was renowned as ‘The Year of Revolutions’?,1848,Which year was renowned as ‘The Year of Revolutions’? 1848
Who played the mad legless Captain Rum in the second series of Blackadder?,Tom Baker,Who played the mad legless Captain Rum in the second series of Blackadder? Tom Baker
"Which musical, for long entrenched at the Palace theatre in London, is currently running at the Queens theatre ?",LES MISERABLES,"Which musical, for long entrenched at the Palace theatre in London, is currently running at the Queens theatre ? LES MISERABLES"
"""What insect acts as the transmitting agent in the spread of the infectious disease """"Bubonic Plague""""?""",FLEA,"""What insect acts as the transmitting agent in the spread of the infectious disease """"Bubonic Plague""""?"" FLEA"
Who was born Vera Margaret Welsh on 20th March 1917?,Vera Lynne,Who was born Vera Margaret Welsh on 20th March 1917? Vera Lynne
"Castor (or castoreum) is an oily substance secreted by which animal, and historically used in medicine and perfume?",Beaver,"Castor (or castoreum) is an oily substance secreted by which animal, and historically used in medicine and perfume? Beaver"
Who did Jai McDowall beat in this years final of Britain's Got Talent?,Ronan Parke,Who did Jai McDowall beat in this years final of Britain's Got Talent? Ronan Parke
The staging of what enormous annual Afro-Caribbean cultural gathering was put in doubt following the London riots of August 2011?,Notting Hill Carnival,The staging of what enormous annual Afro-Caribbean cultural gathering was put in doubt following the London riots of August 2011? Notting Hill Carnival
Kronos (or Cronus) was the Greek equivalent of which Roman god?,Saturn,Kronos (or Cronus) was the Greek equivalent of which Roman god? Saturn
What was the capital of West Germany?,Bonn,What was the capital of West Germany? Bonn
In which year did the liner Queen Mary gain the blue riband on her maiden voyage?,1936,In which year did the liner Queen Mary gain the blue riband on her maiden voyage? 1936
'Simon Tappertit' appears in which novel by Charles Dickens?,'BARNABY RUDGE','Simon Tappertit' appears in which novel by Charles Dickens? 'BARNABY RUDGE'
"Which film starring Bill Murray includes the line Roses are red, violets are blue, I'm a schizophrenic and so am I?",What About Bob,"Which film starring Bill Murray includes the line Roses are red, violets are blue, I'm a schizophrenic and so am I? What About Bob"
What beer was advertised with the slogan Reach for Greatness,Bass,What beer was advertised with the slogan Reach for Greatness Bass
"House, Hogline, Hacks and Button are all terms used in which sport?",Curling,"House, Hogline, Hacks and Button are all terms used in which sport? Curling"
What is the name of the policeman in The Noddy stories,P.C. Plod,What is the name of the policeman in The Noddy stories P.C. Plod
"""Who is """"able to leap tall buildings in a single bound""""?""",Superman,"""Who is """"able to leap tall buildings in a single bound""""?"" Superman"
"Name the popular writer, who died in 2010, and who rode the Queen Mother's horse Devon Loch when it inexplicably belly-flopped out of contention in the 1956 Grand National?",Dick Francis,"Name the popular writer, who died in 2010, and who rode the Queen Mother's horse Devon Loch when it inexplicably belly-flopped out of contention in the 1956 Grand National? Dick Francis"
During which year did the UK television series ‘Emmerdale Farm’ change its title to ‘Emmerdale’?,1989,During which year did the UK television series ‘Emmerdale Farm’ change its title to ‘Emmerdale’? 1989
What atmospheric layer is damaged by chlorofluorocarbons?,Ozone Layer,What atmospheric layer is damaged by chlorofluorocarbons? Ozone Layer
In which country did Idi Amin settle and die after his exile from Uganda?,Saudi Arabia,In which country did Idi Amin settle and die after his exile from Uganda? Saudi Arabia
Which ancient relic was stolen by Scottish Activists from Westminster Abbey and returned to Scotland on Christmas day in 1950?,Stone of Scone,Which ancient relic was stolen by Scottish Activists from Westminster Abbey and returned to Scotland on Christmas day in 1950? Stone of Scone
The cha-cha-cha is a dance developed from the mambo in 1950 in which country?,CUBA,The cha-cha-cha is a dance developed from the mambo in 1950 in which country? CUBA
Where in the body is the stapes bone?,EAR,Where in the body is the stapes bone? EAR
For which minor sport do the USA and Europe compete annually for the Mosconi Cup?,POOL,For which minor sport do the USA and Europe compete annually for the Mosconi Cup? POOL
Nicky Morgan is the current Secretary of State of which Government Department?,Education,Nicky Morgan is the current Secretary of State of which Government Department? Education
What is the art of decorating materials with marks resulting from the controlled application of a heated object?,Pyrography,What is the art of decorating materials with marks resulting from the controlled application of a heated object? Pyrography
In which event did Amy Williams win a gold medal for Britain at the 2010 Winter Olympics?,Women’s skeleton,In which event did Amy Williams win a gold medal for Britain at the 2010 Winter Olympics? Women’s skeleton
What colour is the flesh of a lychee?,White,What colour is the flesh of a lychee? White
"Which US singer has had albums called 'Daydream', 'Butterfly', 'Rainbow' and 'Glitter'?",Mariah Carey,"Which US singer has had albums called 'Daydream', 'Butterfly', 'Rainbow' and 'Glitter'? Mariah Carey"
Who was Jessica Rabbit's husband?,Roger Rabbit,Who was Jessica Rabbit's husband? Roger Rabbit
Which composer's music forms the basis of the ballet Pineapple Poll?,SULLIVAN,Which composer's music forms the basis of the ballet Pineapple Poll? SULLIVAN
"Which singer appears as bar-owner 'JD' in the film 'Lock, Stock and two Smoking Barrels'?",Sting,"Which singer appears as bar-owner 'JD' in the film 'Lock, Stock and two Smoking Barrels'? Sting"
"In the final Harry Potter novel, who becomes headmaster of Hogwarts School?",Severus Snape,"In the final Harry Potter novel, who becomes headmaster of Hogwarts School? Severus Snape"
Who wrote the play 'Private Lives'?,Noel Coward,Who wrote the play 'Private Lives'? Noel Coward
In which North African country was Yves St. Laurent born as Henri Donat Mathieu?,Algeria,In which North African country was Yves St. Laurent born as Henri Donat Mathieu? Algeria
"In the George Orwell novel Animal Farm, what sort of animal was Napoleon ?",PIG,"In the George Orwell novel Animal Farm, what sort of animal was Napoleon ? PIG"
Who wrote the books ‘The Good Companions’ and ‘An Inspector Calls’?,J.B. Priestly,Who wrote the books ‘The Good Companions’ and ‘An Inspector Calls’? J.B. Priestly
"Which nickname was given to the American WWII general, George Patton?",BLOOD and GUTS,"Which nickname was given to the American WWII general, George Patton? BLOOD and GUTS"
What language did the Pennsylvania Dutch speak?,German,What language did the Pennsylvania Dutch speak? German
Which Indian tribe did Sitting Bull belong to?,Sioux,Which Indian tribe did Sitting Bull belong to? Sioux
"On this day, 8th November, which famous poet who was blind in his later years, died in his home in London in 1647?",JOHN MILTON,"On this day, 8th November, which famous poet who was blind in his later years, died in his home in London in 1647? JOHN MILTON"
"The wood from which common tree was traditionally used to make tennis racquets, snooker cues and hockey sticks",Ash,"The wood from which common tree was traditionally used to make tennis racquets, snooker cues and hockey sticks Ash"
Who was the son of King John and Isabella of Angoulme who became King of England when 9 years old?,Henry III,Who was the son of King John and Isabella of Angoulme who became King of England when 9 years old? Henry III
"Which country was proclaimed a republic in 1867, following the withdrawal of the French administration and the execution of Emperor Ferdinand Maximilian?",Mexico,"Which country was proclaimed a republic in 1867, following the withdrawal of the French administration and the execution of Emperor Ferdinand Maximilian? Mexico"
Which Grand Slam tournament uses the distinctive serving pose of the Swedish player Stefan Edberg on its logo?,Australian Open,Which Grand Slam tournament uses the distinctive serving pose of the Swedish player Stefan Edberg on its logo? Australian Open
Who acceded the English throne after the death of Edward III?,RICHARD II,Who acceded the English throne after the death of Edward III? RICHARD II
"What Latin term is used to mean 'word for word', or 'exactly the same words'?",Verbatim,"What Latin term is used to mean 'word for word', or 'exactly the same words'? Verbatim"
The green jersey is worn by the Tour de France's?,Best sprinter,The green jersey is worn by the Tour de France's? Best sprinter
How many apostles are there in the painting ‘The Last Supper’ by Leonardo da Vinci?,12,How many apostles are there in the painting ‘The Last Supper’ by Leonardo da Vinci? 12
In which country did the Contras battle the Sandinistas throughout most of the 1980s?,Nicaragua,In which country did the Contras battle the Sandinistas throughout most of the 1980s? Nicaragua
"""Who starred as AC Slater in """"Saved by the Bell""""?""",Mario Lopez,"""Who starred as AC Slater in """"Saved by the Bell""""?"" Mario Lopez"
"In May 2009, Millvina Dean died aged 97. She was the last survivor of which historic event?",The sinking of the Titanic,"In May 2009, Millvina Dean died aged 97. She was the last survivor of which historic event? The sinking of the Titanic"
What country do Legos come from originally?,Denmark,What country do Legos come from originally? Denmark
Which was the 50th and last state to become part of the USA?,Hawaii,Which was the 50th and last state to become part of the USA? Hawaii
"Who wrote the music for 'Billy Elliot, The Musical'?",ELTON JOHN,"Who wrote the music for 'Billy Elliot, The Musical'? ELTON JOHN"
"Seals, sea lions and walrus belong to which suborder of manunals?",PINNIPEDIA,"Seals, sea lions and walrus belong to which suborder of manunals? PINNIPEDIA"
"Held just outside Bridgeville, DE, Friday marks the start of the world championship in the art of throwing what for distance, using classes such as Air, Centrifugal, Catapult, Trebuchet, and Human Powered?",Pumpkins,"Held just outside Bridgeville, DE, Friday marks the start of the world championship in the art of throwing what for distance, using classes such as Air, Centrifugal, Catapult, Trebuchet, and Human Powered? Pumpkins"
How are comedians Paul & Barry Elliot better known?,THE CHUCKLE BROTHERS,How are comedians Paul & Barry Elliot better known? THE CHUCKLE BROTHERS
Which Greek goddess is the muse of erotic poetry?,Erato,Which Greek goddess is the muse of erotic poetry? Erato
What was the name of the dog in Enid Blighton's Famous Five books?,Timmy.,What was the name of the dog in Enid Blighton's Famous Five books? Timmy.
What dangerous type of horse race involves jumping over various fences and ditches?,Steeplechase,What dangerous type of horse race involves jumping over various fences and ditches? Steeplechase
A pride is a group of what type of animal?,Lion,A pride is a group of what type of animal? Lion
The Cantonese/Chinese dish 'foo yong' (also 'fu young') is similar to?,Omelette,The Cantonese/Chinese dish 'foo yong' (also 'fu young') is similar to? Omelette
"Prudhoe Bay Oil Field, the largest in North America, is in which US state?",ALASKA,"Prudhoe Bay Oil Field, the largest in North America, is in which US state? ALASKA"
"What is a large semi-aquatic rodent native to Canada, much of the United States, and parts of northern Mexico that constructs homes out of sticks, twigs, and mud in lakes or streams?",Beaver,"What is a large semi-aquatic rodent native to Canada, much of the United States, and parts of northern Mexico that constructs homes out of sticks, twigs, and mud in lakes or streams? Beaver"
The Biba boutiques were at the heart of swinging London and at one time had the highest turnover of any British retail company. Who founded and ran Biba?,Barbara Hulanicki,The Biba boutiques were at the heart of swinging London and at one time had the highest turnover of any British retail company. Who founded and ran Biba? Barbara Hulanicki
Mjosa (more precisely Mjøsa) is the largest lake of which country?,Norway,Mjosa (more precisely Mjøsa) is the largest lake of which country? Norway
Which US President was known as 'The Rail-Splitter' and 'The Great Emancipator'?,ABRAHAM LINCOLN,Which US President was known as 'The Rail-Splitter' and 'The Great Emancipator'? ABRAHAM LINCOLN
Which London museum occupies part of the old Bethlehem Royal Hospital?,IMPERIAL WAR MUSEUM,Which London museum occupies part of the old Bethlehem Royal Hospital? IMPERIAL WAR MUSEUM
What is the flavour of the liqueur Amaretto?,Almond,What is the flavour of the liqueur Amaretto? Almond
How often is the Oberammergau Passion Play performed?,EVERY TEN YEARS,How often is the Oberammergau Passion Play performed? EVERY TEN YEARS
Whose cottage is on the left of the Constable painting The Hay Wain?,WILLY LOTT,Whose cottage is on the left of the Constable painting The Hay Wain? WILLY LOTT
‘Wot a lot I got’ was the advertising slogan for which confectionery items?,Smarties,‘Wot a lot I got’ was the advertising slogan for which confectionery items? Smarties
What is a cricket umpire signalling when he holds out one arm horizontally?,No Ball,What is a cricket umpire signalling when he holds out one arm horizontally? No Ball
"What is a mixture of saturated aliphatic and alicyclic C7 to C12 hydrocarbons with a maximum content of 25% of C7 to C12 alkyl aromatic hydrocarbons, which is used as an extraction, cleaning and degreasing solvent, and as a solvent in aerosols, paints, wood preservatives, lacquers, varnishes, and asphalt products?",White spirit,"What is a mixture of saturated aliphatic and alicyclic C7 to C12 hydrocarbons with a maximum content of 25% of C7 to C12 alkyl aromatic hydrocarbons, which is used as an extraction, cleaning and degreasing solvent, and as a solvent in aerosols, paints, wood preservatives, lacquers, varnishes, and asphalt products? White spirit"
Who won the World Darts Championship 4 times in the 1980s?,Eric Bristow,Who won the World Darts Championship 4 times in the 1980s? Eric Bristow
"Which river rises on the Tibetan Plateau, flows northwest and then south and southwest to enter the Arabian Gulf in the Seven Rivers area south of Karachi?",INDUS,"Which river rises on the Tibetan Plateau, flows northwest and then south and southwest to enter the Arabian Gulf in the Seven Rivers area south of Karachi? INDUS"
In which city is the HQ of Volkswagen cars?,Wolfsburg,In which city is the HQ of Volkswagen cars? Wolfsburg
"""Which American pop singer/songwriter who won the first season of the television series American Idol in 2002 won two Grammy Awards in 2006 - for her album """"Breakaway"""" and the single """"Since U Been Gone""""?""",Kelly Clarkson,"""Which American pop singer/songwriter who won the first season of the television series American Idol in 2002 won two Grammy Awards in 2006 - for her album """"Breakaway"""" and the single """"Since U Been Gone""""?"" Kelly Clarkson"
"The wreck of which warship, one of the largest in the English navy of King Henry VIII in the first half of the 16th century, was rediscovered in 1971 and salvaged in October 1982?",Mary Rose,"The wreck of which warship, one of the largest in the English navy of King Henry VIII in the first half of the 16th century, was rediscovered in 1971 and salvaged in October 1982? Mary Rose"
What seven-letter word means “A Russian tea urn”?,samovar,What seven-letter word means “A Russian tea urn”? samovar
What are the first names of David and Victoria Beckham’s daughter?,Harper Seven,What are the first names of David and Victoria Beckham’s daughter? Harper Seven
"Which Roman writer, best known for his Natural History (Naturalis Historic), died during the eruption of Vesuvius in 79AD?",Pliny,"Which Roman writer, best known for his Natural History (Naturalis Historic), died during the eruption of Vesuvius in 79AD? Pliny"
"Gary Numan, Cliff Richard and Crystal Gayle were all born with which surname?",Webb,"Gary Numan, Cliff Richard and Crystal Gayle were all born with which surname? Webb"
"Because it was worn by recently freed slaves in Ancient Rome, what cap became the symbol of liberty?",Pileus,"Because it was worn by recently freed slaves in Ancient Rome, what cap became the symbol of liberty? Pileus"
"What form of bridge is Tower Bridge, London?",Bascule,"What form of bridge is Tower Bridge, London? Bascule"
"Published in 2011, 'The House of Silk' is the first new official Sherlock Holmes mystery and was written by which author who has won many awards for his children's books?",ANTHONY HOROWITZ,"Published in 2011, 'The House of Silk' is the first new official Sherlock Holmes mystery and was written by which author who has won many awards for his children's books? ANTHONY HOROWITZ"
Harrison Ford was working as what before his first big break as a film actor?,Carpenter,Harrison Ford was working as what before his first big break as a film actor? Carpenter
What type of animal is a shell-less gastropod?,Slug,What type of animal is a shell-less gastropod? Slug
"The Finch family of Maycomb, Alabama feature in which 1960 novel?",To Kill A Mockingbird,"The Finch family of Maycomb, Alabama feature in which 1960 novel? To Kill A Mockingbird"
"Which Venetian artist, real name Jacopo Robusti, painted “The Origin of the Milky Way”?",Tintoretto,"Which Venetian artist, real name Jacopo Robusti, painted “The Origin of the Milky Way”? Tintoretto"
To which James Bond film did Nancy Sinatra sing the theme tune?,You Only Live Twice,To which James Bond film did Nancy Sinatra sing the theme tune? You Only Live Twice
Which American President was the teddy bear named after?,Theodore Roosevelt,Which American President was the teddy bear named after? Theodore Roosevelt
What country had the Roman name Hibernia?,Ireland,What country had the Roman name Hibernia? Ireland
Who won a Gold Medal for Britain in the men’s 100 metres at the 1992 Summer Olympic Games in Barcelona?,Linford Christie,Who won a Gold Medal for Britain in the men’s 100 metres at the 1992 Summer Olympic Games in Barcelona? Linford Christie
Which was the second city to host the modern Olympic Games?,PARIS,Which was the second city to host the modern Olympic Games? PARIS
